task,total_score,total_gpt4_score,relative_score
trans_ru,74,258,28.68217054263566
trans_tuk,84,226,37.16814159292036
trans_hrv,113,315,35.87301587301587
German_new,157,436,36.00917431192661
Spanish_new,222,449,49.44320712694877
trans_cs,127,390,32.56410256410256
trans_kor,91,309,29.449838187702266
trans_hu,94,372,25.268817204301076
trans_ukr,62,296,20.945945945945947
trans_est,63,396,15.909090909090908
Portuguese_new,175,470,37.234042553191486
trans_jp,80,326,24.539877300613497
trans_bel,65,282,23.04964539007092
trans_vie,126,335,37.61194029850746
trans_th,80,337,23.738872403560833
French_new,195,411,47.44525547445255
trans_ara,73,287,25.435540069686414
trans_rom,108,429,25.174825174825177
trans_srp,70,295,23.728813559322035
trans_lav,76,330,23.03030303030303
